label,way_id,start_idx,end_idx,oneway,highway,name,closed_way,result
浦和→さいたま新都心,99152465,62,67,yes,tertiary,西大通り,False,forward_travel
吉祥寺→三鷹,381689888,4,5,yes,tertiary,吉祥寺大通り,False,forward_travel
吉祥寺→三鷹,39217799,5,6,yes,unclassified,平和通り,False,forward_travel
吉祥寺→三鷹,1527498768,6,7,yes,unclassified,平和通り,False,forward_travel
吉祥寺→三鷹,1348130136,7,8,yes,unclassified,平和通り,False,forward_travel
吉祥寺→三鷹,276479576,8,13,yes,secondary,平和通り,False,bicycle_exempt
吉祥寺→三鷹,37860785,42,43,yes,unclassified,,False,forward_travel
吉祥寺→三鷹,153378267,47,49,yes,residential,,False,forward_travel
立川→国分寺,853388885,11,12,yes,tertiary,,False,forward_travel
立川→国分寺,135539740,12,16,yes,tertiary,すずらん通り,False,forward_travel
立川→国分寺,237757019,37,38,yes,secondary,立川国分寺線,False,bicycle_exempt
立川→国分寺,85221060,38,39,yes,unclassified,,False,bicycle_exempt
立川→国分寺,161959860,64,67,yes,secondary,多喜窪通り,False,forward_travel
横浜→みなとみらい,28413952,12,13,yes,unclassified,,False,forward_travel
横浜→みなとみらい,28413949,13,14,yes,unclassified,,False,forward_travel
横浜→みなとみらい,28413951,14,18,yes,primary,県道80号,True,forward_travel
横浜→みなとみらい,38913182,31,32,yes,tertiary,,False,forward_travel
横浜→みなとみらい,1298550088,32,34,yes,tertiary,すずかけ通り,False,forward_travel
横浜→みなとみらい,306336243,34,37,yes,tertiary,すずかけ通り,False,forward_travel
横浜→みなとみらい,1215885243,37,38,yes,tertiary,すずかけ通り,False,forward_travel
横浜→みなとみらい,25944286,38,46,yes,tertiary,すずかけ通り,False,forward_travel
横浜→みなとみらい,220878901,46,51,yes,tertiary,国際大通り,False,forward_travel
横浜→みなとみらい,301926836,51,52,yes,service,,False,forward_travel
横浜→みなとみらい,216075126,52,55,yes,service,,False,forward_travel
横浜→みなとみらい,1477382070,55,56,yes,service,,False,forward_travel
川崎→武蔵小杉,103427282,16,18,yes,unclassified,,False,bicycle_exempt
川崎→武蔵小杉,200005000,21,23,yes,unclassified,,False,forward_travel
川崎→武蔵小杉,655958377,24,29,yes,cycleway,,False,forward_travel
川崎→武蔵小杉,655958381,29,30,yes,cycleway,,False,forward_travel
川崎→武蔵小杉,655958383,30,31,yes,cycleway,,False,forward_travel
川崎→武蔵小杉,989114280,35,37,yes,tertiary,温泉通り,False,forward_travel
川崎→武蔵小杉,1246785325,37,38,yes,tertiary,温泉通り,False,forward_travel
川崎→武蔵小杉,989140705,38,39,yes,tertiary,温泉通り,False,forward_travel
川崎→武蔵小杉,989140703,39,40,yes,tertiary,温泉通り,False,forward_travel
川崎→武蔵小杉,80916735,44,46,yes,residential,中幸町仲通り,False,forward_travel
川崎→武蔵小杉,80916750,46,47,yes,residential,中幸町仲通り,False,forward_travel
川崎→武蔵小杉,1131149149,47,48,yes,residential,中幸町仲通り,False,forward_travel
川崎→武蔵小杉,1131149147,48,53,yes,residential,中幸町仲通り,False,forward_travel
川崎→武蔵小杉,294664333,136,149,yes,tertiary,南武沿線道路,False,forward_travel
川崎→武蔵小杉,680507398,149,151,yes,tertiary,南武沿線道路,False,forward_travel
川崎→武蔵小杉,557828569,151,159,yes,tertiary,南武沿線道路,False,forward_travel
川崎→武蔵小杉,680507400,159,163,yes,tertiary,南武沿線道路,False,forward_travel
川崎→武蔵小杉,61755741,174,175,yes,unclassified,,False,forward_travel
川崎→武蔵小杉,288110974,176,177,yes,residential,,False,forward_travel
川崎→武蔵小杉,139546937,179,180,yes,residential,,False,forward_travel
