label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,node_rank1_group,rank1_way_id,rank1_group,rank1_highway,rank1_oneway,rank1_name,rank1_bicycle,rank1_dist_m,rank2_way_id,rank2_highway,rank2_oneway,rank2_dist_m,match_margin_m,match_ambiguous,rank1_is_nonroad,rank1_bicycle_exempt,rank1_excluded,filt_rank1_way_id,filt_rank1_group,filt_rank1_highway,filt_rank1_oneway,filt_rank1_name,filt_rank1_dist_m,filt_fallback_used,switched,oneway_violation_baseline,oneway_confidence_baseline,oneway_misaligned_baseline,oneway_violation_filtered,oneway_confidence_filtered,oneway_misaligned_filtered,violation_changed,diag_angle_baseline_deg,diag_angle_filtered_deg
東京→渋谷,20,21,35.66224,139.73429,342,271979231,,271979231,,primary,yes,外苑東通り,,0.165,927004529,footway,,2.298,2.133,False,False,False,False,271979231,,primary,yes,外苑東通り,0.165,False,False,False,0.0,False,False,0.0,False,False,0.2,0.2
東京→渋谷,21,22,35.66315,139.73238,342,271979227,,271979231,,primary,yes,外苑東通り,,0.943,927004516,secondary,yes,3.341,2.399,False,False,False,False,271979231,,primary,yes,外苑東通り,0.943,False,False,False,0.0,False,False,0.0,False,False,16.6,16.6
東京→渋谷,22,23,35.66245,139.73082,342,253067268,,927004519,,secondary,yes,六本木通り,,1.025,693373501,footway,,7.06,6.035,False,False,False,False,927004519,,secondary,yes,六本木通り,1.025,False,False,False,0.0,False,False,0.0,False,False,0.2,0.2
東京→渋谷,23,24,35.66101,139.72778,342,755562447,,888162704,,secondary,yes,六本木通り,,1.327,755562447,footway,,3.378,2.051,False,False,False,False,888162704,,secondary,yes,六本木通り,1.327,False,False,False,0.0,False,False,0.0,False,False,2.8,2.8
東京→渋谷,24,25,35.66028,139.72567,342,888162704,,888162704,,secondary,yes,六本木通り,,0.17,755562446,footway,,4.396,4.226,False,False,False,False,888162704,,secondary,yes,六本木通り,0.17,False,False,False,0.0,False,False,0.0,False,False,0.6,0.6
東京→渋谷,25,26,35.6598,139.72435,342,122928192,,122928192,,residential,,,,0.862,261065059,secondary,yes,3.086,2.224,False,False,False,False,122928192,,residential,,,0.862,False,False,False,0.0,True,False,0.0,True,False,77.4,77.4
東京→渋谷,26,27,35.65943,139.72214,342,755562443,,261065068,,secondary,yes,六本木通り,,1.204,755562443,footway,,3.618,2.414,False,False,False,False,261065068,,secondary,yes,六本木通り,1.204,False,False,False,0.0,False,False,0.0,False,False,4.0,4.0
東京→渋谷,27,28,35.65924,139.72,342,261065068,,755562444,,footway,,,,3.488,261065068,secondary,yes,5.545,2.056,False,True,False,True,261065068,,secondary,yes,六本木通り,5.545,False,True,False,0.0,False,False,0.0,False,False,3.8,0.0
東京→渋谷,28,29,35.65925,139.71909,342,682312821,,935686680,,secondary,yes,六本木通り(高樹町),,2.784,755562444,footway,,3.891,1.106,True,False,False,False,935686680,,secondary,yes,六本木通り(高樹町),2.784,False,False,False,0.0,False,False,0.0,False,False,1.4,1.4
東京→渋谷,29,30,35.65894,139.71543,342,203832853,,775539561,,secondary,yes,六本木通り,,0.861,775539562,secondary,,3.0,2.139,False,False,False,False,775539561,,secondary,yes,六本木通り,0.861,False,False,False,0.0,False,False,0.0,False,False,0.1,0.1
東京→渋谷,30,31,35.65862,139.71248,342,350053191,,922476289,,secondary,yes,六本木通り,,1.732,350053191,tertiary,,5.445,3.713,False,False,False,False,922476289,,secondary,yes,六本木通り,1.732,False,False,False,0.0,False,False,0.0,False,False,0.7,0.7
東京→渋谷,31,32,35.65823,139.70837,342,141293470,,141293470,,tertiary,,八幡通り,,1.601,922476295,secondary,yes,2.148,0.546,True,False,False,False,141293470,,tertiary,,八幡通り,1.601,False,False,False,0.0,False,False,0.0,False,False,54.9,54.9
東京→渋谷,32,33,35.65811,139.70618,342,622021127,,284075894,,secondary,yes,六本木通り,,0.514,141293465,residential,,5.231,4.717,False,False,False,False,284075894,,secondary,yes,六本木通り,0.514,False,False,False,0.0,False,False,0.0,False,False,0.3,0.3
東京→渋谷,33,34,35.65805,139.70434,342,853216379,,852978896,,secondary,yes,六本木通り,,1.498,211402007,service,yes,1.905,0.407,True,False,False,False,852978896,,secondary,yes,六本木通り,1.498,False,False,False,0.0,False,False,0.0,False,False,3.1,3.1
東京→渋谷,34,37,35.65792,139.70353,342,680253718,,680253718,,pedestrian,,,,0.363,664521510,footway,,3.158,2.795,False,True,False,True,172125347,,trunk,yes,六本木通り,9.905,False,True,False,0.0,False,False,0.0,False,False,179.3,0.6
品川→東京,0,0,35.62877,139.74184,313,680899281,,680899281,,unclassified,yes,,,1.218,680899279,footway,,9.646,8.428,False,False,False,False,680899281,,unclassified,yes,,1.218,False,False,False,0.0,True,False,0.0,True,False,114.2,114.2
品川→東京,1,2,35.6289,139.74222,313,172281627,,172281628,,unclassified,yes,,,0.406,172281627,footway,,0.409,0.003,True,False,False,False,172281628,,unclassified,yes,,0.406,False,False,False,0.0,False,False,0.0,False,False,19.1,19.1
品川→東京,2,5,35.62903,139.74278,313,23690216,A,172281627,,footway,,,,0.951,23690216,unclassified,yes,2.13,1.179,True,True,False,True,23690216,A,unclassified,yes,,2.13,False,True,False,0.0,False,True,1.0,False,True,27.3,134.6
品川→東京,3,6,35.62949,139.74285,313,172281624,,172281624,,unclassified,,,,0.12,1035597852,tertiary,yes,0.955,0.834,True,False,False,False,172281624,,unclassified,,,0.12,False,False,False,0.0,False,False,0.0,False,False,51.7,51.7
品川→東京,4,7,35.62945,139.74351,313,265010603,,265010603,,tertiary,yes,,,0.181,558518250,pedestrian,,1.046,0.865,True,False,False,False,265010603,,tertiary,yes,,0.181,False,False,False,0.0,False,False,0.0,False,False,45.4,45.4
品川→東京,5,8,35.63012,139.74357,313,558518250,,558518250,,pedestrian,,,,0.369,582256211,pedestrian,,1.672,1.304,True,True,False,True,265010600,,unclassified,,,58.914,False,True,False,0.0,False,False,0.0,False,False,168.3,1.7
品川→東京,6,11,35.63051,139.74365,313,558518250,,558518250,,pedestrian,,,,2.875,558518249,pedestrian,,20.087,17.212,False,True,False,True,265010600,,unclassified,,,62.528,False,True,False,0.0,False,False,0.0,False,False,164.0,29.3
品川→東京,7,14,35.63065,139.74447,313,558518249,,558518249,,pedestrian,,,,4.335,1450174835,footway,,48.72,44.385,False,True,False,True,356912946,,primary,yes,旧海岸通り,55.699,False,True,False,0.0,False,False,0.0,False,False,25.4,34.8
品川→東京,8,15,35.6314,139.74456,313,558518249,,558518249,,pedestrian,,,,3.737,1450174835,footway,,47.318,43.581,False,True,False,True,356912946,,primary,yes,旧海岸通り,54.065,False,True,False,0.0,False,False,0.0,False,False,33.2,27.0
品川→東京,9,18,35.63145,139.74498,313,1450174835,,1450174835,,footway,,,,9.889,356912946,primary,yes,16.612,6.723,False,True,False,True,356912946,,primary,yes,旧海岸通り,16.612,False,True,False,0.0,True,False,0.0,True,False,65.3,65.4
品川→東京,10,21,35.63329,139.74537,313,230895574,,230895574,,primary,yes,旧海岸通り,,1.111,1450872526,footway,,5.82,4.709,False,False,False,False,230895574,,primary,yes,旧海岸通り,1.111,False,False,False,0.0,False,False,0.0,False,False,1.4,1.4
品川→東京,11,22,35.63741,139.74669,313,19247435,,211690605,,primary,yes,旧海岸通り,,0.215,19247435,tertiary,,1.809,1.594,True,False,False,False,211690605,,primary,yes,旧海岸通り,0.215,False,False,False,0.0,False,False,0.0,False,False,0.4,0.4
品川→東京,12,23,35.63939,139.74728,313,155010048,,211690605,,primary,yes,旧海岸通り,,0.816,252127020,tertiary,,1.13,0.314,True,False,False,False,211690605,,primary,yes,旧海岸通り,0.816,False,False,False,0.0,False,False,0.0,False,False,0.7,0.7
品川→東京,13,24,35.64115,139.74788,313,23690234,,23690234,,tertiary,,,,0.405,211690605,primary,yes,4.114,3.709,False,False,False,False,23690234,,tertiary,,,0.405,False,False,False,0.0,False,False,0.0,False,False,150.2,150.2
品川→東京,14,25,35.64181,139.7482,313,4848884,,176674159,,secondary,yes,日比谷芝浦線,,0.162,4848884,primary,yes,0.953,0.791,True,False,False,False,176674159,,secondary,yes,日比谷芝浦線,0.162,False,False,False,0.0,False,False,0.0,False,False,58.5,58.5
品川→東京,15,27,35.64294,139.75077,313,4848884,,59973392,,tertiary,,,,0.456,4848884,primary,yes,0.901,0.445,True,False,False,False,59973392,,tertiary,,,0.456,False,False,False,0.0,True,False,0.0,True,False,76.0,76.0
品川→東京,16,28,35.64296,139.75235,313,59973382,,421300042,,primary,yes,旧海岸通り,,0.202,59973382,tertiary,,2.275,2.073,False,False,False,False,421300042,,primary,yes,旧海岸通り,0.202,False,False,False,0.0,False,False,0.0,False,False,51.6,51.6
